iter	Passed	Remaining
966	127061	4336
967	127199	4204
968	127338	4073
969	127474	3942
970	127614	3811
971	127744	3679
972	127881	3548
973	128016	3417
974	128154	3286
975	128285	3154
976	128422	3023
977	128564	2892
978	128693	2760
979	128821	2629
980	128959	2497
981	129092	2366
982	129225	2234
983	129353	2103
984	129485	1971
985	129616	1840
986	129743	1708
987	129868	1577
988	129999	1445
989	130127	1314
990	130261	1183
991	130391	1051
992	130523	920
993	130652	788
994	130787	657
995	130915	525
996	131053	394
997	131188	262
998	131317	131
999	131444	0
